"Table 4. Space Economy Real Gross Output by Industry","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14"
"[Millions of chained (2017) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Last updated: March 31, 2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Space economy1","182757","190256","195919","205707","206542","207911","205358","208510","200271","194131","203295","202094"
"2","Private industries","151467","159229","164508","173324","173764","175789","172479","172473","163865","156995","164711","161677"
"3","Agriculture, forestry, fishing, and hunting","…","…","…","…","…","…","…","…","…","…","…","…"
"4","Farms","…","…","…","…","…","…","…","…","…","…","…","…"
"5","Forestry, fishing, and related activities","…","…","…","…","…","…","…","…","…","…","…","…"
"6","Mining","72","54","68","58","34","13","5","7","3","3","3","2"
"7","Oil and gas extraction","54","40","50","41","24","9","4","4","2","2","2","2"
"8","Mining, except oil and gas","0","0","0","1","1","1","0","0","0","0","0","0"
"9","Support activities for mining","18","14","17","15","9","3","2","2","1","1","1","1"
"10","Utilities","2","1","1","3","3","3","2","2","2","2","2","2"
"11","Construction","383","350","515","618","653","913","545","1649","1433","832","1014","1077"
"12","Manufacturing","44500","45870","46345","48639","50423","50217","52215","57984","55157","55601","59475","61224"
"13","Durable goods","43736","45057","45578","48297","50023","49848","51868","57711","54923","55334","59137","60897"
"14","Wood products","32","16","26","6","6","5","6","4","4","9","6","6"
"15","Nonmetallic mineral products","91","101","103","40","42","39","40","36","32","32","35","34"
"16","Primary metals","75","75","114","88","62","60","46","38","39","35","43","43"
"17","Fabricated metal products","367","603","438","477","432","364","244","228","214","270","285","282"
"18","Machinery","1239","1164","1071","635","655","636","651","602","544","643","705","691"
"19","Computer and electronic products2","20693","21587","21607","25061","28720","28613","30802","33152","32494","33810","35343","34993"
"20","Electrical equipment, appliances, and components","762","917","945","790","836","742","773","671","554","490","532","525"
"21","Motor vehicles, bodies and trailers, and parts","3","3","2","2","2","2","1","1","1","1","2","1"
"22","Other transportation equipment3","20539","20284","21168","21050","18781","18879","18817","22466","20734","19823","21699","23534"
"23","Furniture and related products","25","29","27","14","12","13","12","10","10","9","10","10"
"24","Miscellaneous manufacturing","818","1068","962","456","479","496","510","458","382","463","579","567"
"25","Nondurable goods","829","888","830","340","400","369","349","283","246","274","337","330"
"26","Food and beverage and tobacco products","323","428","426","178","181","164","158","118","119","132","172","168"
"27","Textile mills and textile product mills","21","27","24","13","20","15","16","11","9","10","13","12"
"28","Apparel and leather and allied products","17","22","20","10","16","13","13","10","7","8","11","10"
"29","Paper products","24","71","52","25","28","39","27","26","18","25","25","24"
"30","Printing and related support activities","47","40","33","11","10","7","7","11","6","5","5","4"
"31","Petroleum and coal products","62","18","17","7","12","9","36","29","24","20","21","20"
"32","Chemical products","65","18","17","17","13","11","11","11","9","11","12","12"
"33","Plastics and rubber products","224","273","250","79","119","111","79","68","53","64","80","78"
"34","Wholesale trade","29109","32868","35800","39743","41461","44876","46038","40826","40181","37101","38839","36402"
"35","Retail trade","306","341","349","431","602","473","554","815","528","745","777","815"
"36","Motor vehicle and parts dealers","1","1","1","1","1","0","0","1","1","1","1","1"
"37","Food and beverage stores","1","1","1","1","1","1","1","2","1","2","2","2"
"38","General merchandise stores","38","45","47","53","73","65","77","102","77","99","89","93"
"39","Other retail","266","293","300","376","527","407","475","711","448","643","687","721"
"40","Transportation and warehousing","1690","1503","1340","1309","1341","1317","1580","1268","1210","1150","1779","1743"
"41","Air transportation","917","750","580","612","616","516","750","458","370","312","939","1015"
"42","Rail transportation","3","1","2","2","4","5","4","4","4","5","6","4"
"43","Water transportation","1","1","1","1","2","0","1","2","1","1","0","0"
"44","Truck transportation","729","726","743","680","691","774","806","758","794","794","884","789"
"45","Transit and ground passenger transportation","1","0","0","0","0","0","0","1","0","0","0","1"
"46","Pipeline transportation","0","0","0","0","1","2","2","2","1","1","1","1"
"47","Other transportation and support activities","24","16","10","9","22","15","14","36","30","19","20","21"
"48","Warehousing and storage","4","4","3","3","4","5","5","5","3","4","4","4"
"49","Information","60813","63569","65895","67671","64263","62747","57238","55479","52180","47624","45241","43112"
"50","Publishing industries, except internet (includes software)","418","357","322","538","462","378","284","307","306","335","392","476"
"51","Motion picture and sound recording industries","55","56","53","50","48","57","49","57","43","42","47","54"
"52","Broadcasting and telecommunications4","59432","62175","64536","65930","62485","60989","55652","53792","50608","46007","43493","41277"
"53","Data processing, internet publishing, and other information services","906","983","986","1149","1268","1322","1252","1323","1224","1239","1308","1308"
"54","Finance, insurance, real estate, rental, and leasing","457","276","218","322","379","312","242","200","141","153","306","302"
"55","Finance and insurance","456","274","217","319","374","306","236","193","132","145","297","294"
"56","Federal Reserve banks, credit intermediation, and related activities","12","11","10","18","28","28","19","18","17","27","26","26"
"57","Securities, commodity contracts, and investments","5","6","7","8","12","40","9","9","10","12","12","14"
"58","Insurance carriers and related activities","438","257","200","291","333","238","208","166","105","106","258","253"
"59","Funds, trusts, and other financial vehicles","1","0","0","0","0","0","0","0","0","0","0","0"
"60","Real estate and rental and leasing","2","2","2","3","6","7","6","7","9","8","8","8"
"61","Real estate","0","1","1","2","3","4","3","4","6","5","5","5"
"62","Housing","0","0","0","0","1","1","1","1","1","1","1","1"
"63","Other real estate","0","1","1","1","2","3","3","3","5","4","4","4"
"64","Rental and leasing services and lessors of intangible assets","1","1","1","2","3","3","3","3","3","3","3","3"
"65","Professional and business services","11437","11874","11779","12219","12179","12568","11487","11977","10533","11807","14925","14773"
"66","Professional, scientific, and technical services","11201","11608","11558","11934","11754","12176","11167","11632","10239","11506","14586","14392"
"67","Legal services","1","1","1","2","2","2","2","2","2","2","2","2"
"68","Computer systems design and related services","708","505","564","667","706","1022","840","892","918","1236","1427","1279"
"69","Miscellaneous professional, scientific, and technical services","10485","11117","11004","11273","11050","11153","10323","10737","9331","10310","13184","13113"
"70","Management of companies and enterprises","215","221","151","191","303","252","195","217","175","174","182","205"
"71","Administrative and waste management services","22","47","72","95","122","140","126","128","118","127","156","175"
"72","Administrative and support services","22","47","71","95","122","140","126","128","118","127","155","175"
"73","Waste management and remediation services","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Educational services, health care, and social assistance","2262","2205","2129","2277","2238","2175","2504","2672","2856","2889","3480","4260"
"75","Educational services","2162","2103","2043","2178","2129","2063","2377","2568","2805","2779","3147","4146"
"76","Health care and social assistance","100","103","87","99","109","111","127","104","52","109","324","113"
"77","Ambulatory health care services","2","2","2","3","4","4","4","4","3","4","5","4"
"78","Hospitals","97","101","84","96","104","107","123","99","48","104","318","108"
"79","Nursing and residential care facilities","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Social assistance","0","0","0","0","0","0","0","0","0","0","1","0"
"81","Arts, entertainment, recreation, accommodation, and food services","125","139","151","148","154","170","175","185","166","169","155","160"
"82","Arts, entertainment, and recreation","122","135","147","144","151","167","172","182","164","167","152","156"
"83","Performing arts, spectator sports, museums, and related activities","122","135","146","144","151","167","172","181","164","166","152","156"
"84","Amusements, gambling, and recreation industries","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Accommodation and food services","3","4","4","4","3","3","3","3","2","2","4","5"
"86","Accommodation","3","4","4","4","3","3","3","3","2","2","4","5"
"87","Food services and drinking places","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Other services, except government","4","4","4","4","5","5","4","6","5","6","7","6"
"89","Government5","31535","31098","31441","32383","32786","32122","32870","35989","36335","37076","38518","40343"
"90","Federal","28899","28648","29047","29843","30284","29730","30215","33073","33136","33806","34719","35997"
"91","General government","28896","28645","29044","29841","30281","29727","30212","33070","33133","33797","34715","35994"
"92","National defense","5525","5489","5550","5605","6055","6047","6355","6904","7677","8803","9764","11074"
"93","Nondefense","23373","23158","23496","24240","24227","23680","23858","26166","25467","25019","24975","24930"
"94","Government enterprises","3","3","2","2","3","3","3","3","3","10","3","3"
"95","State and local","2623","2446","2396","2539","2502","2392","2655","2916","3200","3271","3816","4388"
"96","General government","2623","2446","2396","2539","2502","2392","2655","2916","3200","3271","3816","4388"
"97","Government enterprises","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Addendum:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Space economy excluding satellite television, satellite radio, and educational services6","133452","138716","142425","151425","156117","158839","161805","166858","161437","160521","172490","173572"
"1. The space economy consists of space-related goods and services, both public and private. This includes goods and services that:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1. Are used or made in space, or directly support those used or made in space",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2. Require direct input from space to function, or directly support those that do, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3. Are associated with studying space.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2. Includes manufacturing of satellites; ground equipment; search, detection, navigation, and guidance systems (GPS/PNT equipment).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3. Includes manufacturing of space vehicles and space weapons systems.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4. Includes direct-to-home satellite television services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5. Includes spending on personnel, operations, and maintenance. Government spending on private sector investment (structures, equipment, intellectual property) is included within the individual industries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6. This value represents a narrower interpretation of the ""space economy"" definition. These services are primarily produced by the Information (line 49) and Educational services, health care, and social assistance (line 74) sectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
