table_name,industry,district_number,district_name,year,value
real_value_added,Space economy1,13,Underground,2012,101966
real_value_added,Space economy1,13,Underground,2013,111559
real_value_added,Space economy1,13,Underground,2014,113173
real_value_added,Space economy1,13,Underground,2015,121868
real_value_added,Space economy1,13,Underground,2016,123054
real_value_added,Space economy1,13,Underground,2017,122183
real_value_added,Space economy1,13,Underground,2018,119387
real_value_added,Space economy1,13,Underground,2019,122860
real_value_added,Space economy1,13,Underground,2020,118004
real_value_added,Space economy1,13,Underground,2021,111560
real_value_added,Space economy1,13,Underground,2022,115265
real_value_added,Space economy1,13,Underground,2023,115962
real_value_added,Private industries,13,Underground,2012,79861
real_value_added,Private industries,13,Underground,2013,89170
real_value_added,Private industries,13,Underground,2014,90495
real_value_added,Private industries,13,Underground,2015,98536
real_value_added,Private industries,13,Underground,2016,99506
real_value_added,Private industries,13,Underground,2017,98699
real_value_added,Private industries,13,Underground,2018,95196
real_value_added,Private industries,13,Underground,2019,96575
real_value_added,Private industries,13,Underground,2020,92167
real_value_added,Private industries,13,Underground,2021,85568
real_value_added,Private industries,13,Underground,2022,87779
real_value_added,Private industries,13,Underground,2023,86351
real_value_added,Mining,12,Mining,2012,53
real_value_added,Mining,12,Mining,2013,41
real_value_added,Mining,12,Mining,2014,51
real_value_added,Mining,12,Mining,2015,45
real_value_added,Mining,12,Mining,2016,26
real_value_added,Mining,12,Mining,2017,10
real_value_added,Mining,12,Mining,2018,4
real_value_added,Mining,12,Mining,2019,5
real_value_added,Mining,12,Mining,2020,2
real_value_added,Mining,12,Mining,2021,2
real_value_added,Mining,12,Mining,2022,2
real_value_added,Mining,12,Mining,2023,2
real_value_added,Oil and gas extraction,5,Power,2012,39
real_value_added,Oil and gas extraction,5,Power,2013,30
real_value_added,Oil and gas extraction,5,Power,2014,38
real_value_added,Oil and gas extraction,5,Power,2015,32
real_value_added,Oil and gas extraction,5,Power,2016,18
real_value_added,Oil and gas extraction,5,Power,2017,6
real_value_added,Oil and gas extraction,5,Power,2018,3
real_value_added,Oil and gas extraction,5,Power,2019,3
real_value_added,Oil and gas extraction,5,Power,2020,1
real_value_added,Oil and gas extraction,5,Power,2021,1
real_value_added,Oil and gas extraction,5,Power,2022,1
real_value_added,Oil and gas extraction,5,Power,2023,1
real_value_added,"Mining, except oil and gas",5,Power,2012,0
real_value_added,"Mining, except oil and gas",5,Power,2013,0
real_value_added,"Mining, except oil and gas",5,Power,2014,0
real_value_added,"Mining, except oil and gas",5,Power,2015,1
real_value_added,"Mining, except oil and gas",5,Power,2016,1
real_value_added,"Mining, except oil and gas",5,Power,2017,1
real_value_added,"Mining, except oil and gas",5,Power,2018,0
real_value_added,"Mining, except oil and gas",5,Power,2019,0
real_value_added,"Mining, except oil and gas",5,Power,2020,0
real_value_added,"Mining, except oil and gas",5,Power,2021,0
real_value_added,"Mining, except oil and gas",5,Power,2022,0
real_value_added,"Mining, except oil and gas",5,Power,2023,0
real_value_added,Support activities for mining,12,Mining,2012,14
real_value_added,Support activities for mining,12,Mining,2013,10
real_value_added,Support activities for mining,12,Mining,2014,13
real_value_added,Support activities for mining,12,Mining,2015,12
real_value_added,Support activities for mining,12,Mining,2016,7
real_value_added,Support activities for mining,12,Mining,2017,3
real_value_added,Support activities for mining,12,Mining,2018,1
real_value_added,Support activities for mining,12,Mining,2019,1
real_value_added,Support activities for mining,12,Mining,2020,1
real_value_added,Support activities for mining,12,Mining,2021,1
real_value_added,Support activities for mining,12,Mining,2022,1
real_value_added,Support activities for mining,12,Mining,2023,1
real_value_added,Utilities,5,Power,2012,1
real_value_added,Utilities,5,Power,2013,1
real_value_added,Utilities,5,Power,2014,1
real_value_added,Utilities,5,Power,2015,2
real_value_added,Utilities,5,Power,2016,2
real_value_added,Utilities,5,Power,2017,2
real_value_added,Utilities,5,Power,2018,2
real_value_added,Utilities,5,Power,2019,1
real_value_added,Utilities,5,Power,2020,1
real_value_added,Utilities,5,Power,2021,2
real_value_added,Utilities,5,Power,2022,2
real_value_added,Utilities,5,Power,2023,1
real_value_added,Construction,13,Underground,2012,265
real_value_added,Construction,13,Underground,2013,239
real_value_added,Construction,13,Underground,2014,346
real_value_added,Construction,13,Underground,2015,406
real_value_added,Construction,13,Underground,2016,403
real_value_added,Construction,13,Underground,2017,585
real_value_added,Construction,13,Underground,2018,360
real_value_added,Construction,13,Underground,2019,1049
real_value_added,Construction,13,Underground,2020,850
real_value_added,Construction,13,Underground,2021,513
real_value_added,Construction,13,Underground,2022,632
real_value_added,Construction,13,Underground,2023,646
real_value_added,Manufacturing,8,Textiles,2012,24193
real_value_added,Manufacturing,8,Textiles,2013,26789
real_value_added,Manufacturing,8,Textiles,2014,27121
real_value_added,Manufacturing,8,Textiles,2015,29264
real_value_added,Manufacturing,8,Textiles,2016,32387
real_value_added,Manufacturing,8,Textiles,2017,32514
real_value_added,Manufacturing,8,Textiles,2018,33589
real_value_added,Manufacturing,8,Textiles,2019,37565
real_value_added,Manufacturing,8,Textiles,2020,35618
real_value_added,Manufacturing,8,Textiles,2021,38519
real_value_added,Manufacturing,8,Textiles,2022,38760
real_value_added,Manufacturing,8,Textiles,2023,38773
real_value_added,Durable goods,13,Underground,2012,23809
real_value_added,Durable goods,13,Underground,2013,26341
real_value_added,Durable goods,13,Underground,2014,26687
real_value_added,Durable goods,13,Underground,2015,29058
