table_name,industry,district_number,district_name,year,value
compensation,"Space economy, private industries1",13,NA,2012,44438
compensation,"Space economy, private industries1",13,NA,2013,45211
compensation,"Space economy, private industries1",13,NA,2014,45941
compensation,"Space economy, private industries1",13,NA,2015,48237
compensation,"Space economy, private industries1",13,NA,2016,47959
compensation,"Space economy, private industries1",13,NA,2017,49104
compensation,"Space economy, private industries1",13,NA,2018,48686
compensation,"Space economy, private industries1",13,NA,2019,52606
compensation,"Space economy, private industries1",13,NA,2020,51661
compensation,"Space economy, private industries1",13,NA,2021,52655
compensation,"Space economy, private industries1",13,NA,2022,54975
compensation,"Space economy, private industries1",13,NA,2023,57924
compensation,Mining,11,Mining,2012,10
compensation,Mining,11,Mining,2013,8
compensation,Mining,11,Mining,2014,9
compensation,Mining,11,Mining,2015,11
compensation,Mining,11,Mining,2016,7
compensation,Mining,11,Mining,2017,2
compensation,Mining,11,Mining,2018,1
compensation,Mining,11,Mining,2019,1
compensation,Mining,11,Mining,2020,1
compensation,Mining,11,Mining,2021,0
compensation,Mining,11,Mining,2022,0
compensation,Mining,11,Mining,2023,0
compensation,Oil and gas extraction,4,Power,2012,5
compensation,Oil and gas extraction,4,Power,2013,4
compensation,Oil and gas extraction,4,Power,2014,5
compensation,Oil and gas extraction,4,Power,2015,7
compensation,Oil and gas extraction,4,Power,2016,4
compensation,Oil and gas extraction,4,Power,2017,1
compensation,Oil and gas extraction,4,Power,2018,0
compensation,Oil and gas extraction,4,Power,2019,0
compensation,Oil and gas extraction,4,Power,2020,0
compensation,Oil and gas extraction,4,Power,2021,0
compensation,Oil and gas extraction,4,Power,2022,0
compensation,Oil and gas extraction,4,Power,2023,0
compensation,Support activities for mining,11,Mining,2012,5
compensation,Support activities for mining,11,Mining,2013,4
compensation,Support activities for mining,11,Mining,2014,4
compensation,Support activities for mining,11,Mining,2015,4
compensation,Support activities for mining,11,Mining,2016,3
compensation,Support activities for mining,11,Mining,2017,1
compensation,Support activities for mining,11,Mining,2018,0
compensation,Support activities for mining,11,Mining,2019,1
compensation,Support activities for mining,11,Mining,2020,0
compensation,Support activities for mining,11,Mining,2021,0
compensation,Support activities for mining,11,Mining,2022,0
compensation,Support activities for mining,11,Mining,2023,0
compensation,Utilities,4,Power,2012,0
compensation,Utilities,4,Power,2013,0
compensation,Utilities,4,Power,2014,0
compensation,Utilities,4,Power,2015,1
compensation,Utilities,4,Power,2016,1
compensation,Utilities,4,Power,2017,1
compensation,Utilities,4,Power,2018,0
compensation,Utilities,4,Power,2019,0
compensation,Utilities,4,Power,2020,0
compensation,Utilities,4,Power,2021,0
compensation,Utilities,4,Power,2022,0
compensation,Utilities,4,Power,2023,0
compensation,Construction,13,NA,2012,122
compensation,Construction,13,NA,2013,100
compensation,Construction,13,NA,2014,170
compensation,Construction,13,NA,2015,212
compensation,Construction,13,NA,2016,214
compensation,Construction,13,NA,2017,322
compensation,Construction,13,NA,2018,209
compensation,Construction,13,NA,2019,651
compensation,Construction,13,NA,2020,541
compensation,Construction,13,NA,2021,338
compensation,Construction,13,NA,2022,457
compensation,Construction,13,NA,2023,508
compensation,Manufacturing,7,Textiles,2012,19435
compensation,Manufacturing,7,Textiles,2013,19334
compensation,Manufacturing,7,Textiles,2014,19184
compensation,Manufacturing,7,Textiles,2015,19837
compensation,Manufacturing,7,Textiles,2016,20098
compensation,Manufacturing,7,Textiles,2017,20303
compensation,Manufacturing,7,Textiles,2018,20531
compensation,Manufacturing,7,Textiles,2019,23972
compensation,Manufacturing,7,Textiles,2020,23243
compensation,Manufacturing,7,Textiles,2021,24035
compensation,Manufacturing,7,Textiles,2022,23106
compensation,Manufacturing,7,Textiles,2023,24270
compensation,Durable goods,13,NA,2012,19296
compensation,Durable goods,13,NA,2013,19188
compensation,Durable goods,13,NA,2014,19043
compensation,Durable goods,13,NA,2015,19776
compensation,Durable goods,13,NA,2016,20026
compensation,Durable goods,13,NA,2017,20233
compensation,Durable goods,13,NA,2018,20467
compensation,Durable goods,13,NA,2019,23917
compensation,Durable goods,13,NA,2020,23194
compensation,Durable goods,13,NA,2021,23979
compensation,Durable goods,13,NA,2022,23036
compensation,Durable goods,13,NA,2023,24198
compensation,Wood products,6,Lumber,2012,6
compensation,Wood products,6,Lumber,2013,3
compensation,Wood products,6,Lumber,2014,5
compensation,Wood products,6,Lumber,2015,1
compensation,Wood products,6,Lumber,2016,1
compensation,Wood products,6,Lumber,2017,1
compensation,Wood products,6,Lumber,2018,1
compensation,Wood products,6,Lumber,2019,1
compensation,Wood products,6,Lumber,2020,1
compensation,Wood products,6,Lumber,2021,2
compensation,Wood products,6,Lumber,2022,1
compensation,Wood products,6,Lumber,2023,1
compensation,Nonmetallic mineral products,11,Mining,2012,21
compensation,Nonmetallic mineral products,11,Mining,2013,23
compensation,Nonmetallic mineral products,11,Mining,2014,24
compensation,Nonmetallic mineral products,11,Mining,2015,10
compensation,Nonmetallic mineral products,11,Mining,2016,10
compensation,Nonmetallic mineral products,11,Mining,2017,10
compensation,Nonmetallic mineral products,11,Mining,2018,10
compensation,Nonmetallic mineral products,11,Mining,2019,9
compensation,Nonmetallic mineral products,11,Mining,2020,9
compensation,Nonmetallic mineral products,11,Mining,2021,9
compensation,Nonmetallic mineral products,11,Mining,2022,10
compensation,Nonmetallic mineral products,11,Mining,2023,10
compensation,Primary metals,11,Mining,2012,9
compensation,Primary metals,11,Mining,2013,10
compensation,Primary metals,11,Mining,2014,18
compensation,Primary metals,11,Mining,2015,16
compensation,Primary metals,11,Mining,2016,11
compensation,Primary metals,11,Mining,2017,10
compensation,Primary metals,11,Mining,2018,8
compensation,Primary metals,11,Mining,2019,7
compensation,Primary metals,11,Mining,2020,8
compensation,Primary metals,11,Mining,2021,7
compensation,Primary metals,11,Mining,2022,8
compensation,Primary metals,11,Mining,2023,9
compensation,Fabricated metal products,11,Mining,2012,93
compensation,Fabricated metal products,11,Mining,2013,156
compensation,Fabricated metal products,11,Mining,2014,120
compensation,Fabricated metal products,11,Mining,2015,141
compensation,Fabricated metal products,11,Mining,2016,133
compensation,Fabricated metal products,11,Mining,2017,108
compensation,Fabricated metal products,11,Mining,2018,75
compensation,Fabricated metal products,11,Mining,2019,72
compensation,Fabricated metal products,11,Mining,2020,72
compensation,Fabricated metal products,11,Mining,2021,93
compensation,Fabricated metal products,11,Mining,2022,98
compensation,Fabricated metal products,11,Mining,2023,103
compensation,Machinery,13,NA,2012,325
compensation,Machinery,13,NA,2013,319
compensation,Machinery,13,NA,2014,304
compensation,Machinery,13,NA,2015,201
compensation,Machinery,13,NA,2016,204
compensation,Machinery,13,NA,2017,204
compensation,Machinery,13,NA,2018,221
compensation,Machinery,13,NA,2019,219
compensation,Machinery,13,NA,2020,204
compensation,Machinery,13,NA,2021,233
compensation,Machinery,13,NA,2022,252
compensation,Machinery,13,NA,2023,265
compensation,Computer and electronic products2,3,Technology,2012,10136
compensation,Computer and electronic products2,3,Technology,2013,9636
compensation,Computer and electronic products2,3,Technology,2014,9265
compensation,Computer and electronic products2,3,Technology,2015,9599
compensation,Computer and electronic products2,3,Technology,2016,11278
compensation,Computer and electronic products2,3,Technology,2017,12176
compensation,Computer and electronic products2,3,Technology,2018,12004
compensation,Computer and electronic products2,3,Technology,2019,12701
compensation,Computer and electronic products2,3,Technology,2020,12948
compensation,Computer and electronic products2,3,Technology,2021,13670
compensation,Computer and electronic products2,3,Technology,2022,13456
compensation,Computer and electronic products2,3,Technology,2023,13661
compensation,"Electrical equipment, appliances, and components",4,Power,2012,228
compensation,"Electrical equipment, appliances, and components",4,Power,2013,266
compensation,"Electrical equipment, appliances, and components",4,Power,2014,260
compensation,"Electrical equipment, appliances, and components",4,Power,2015,221
compensation,"Electrical equipment, appliances, and components",4,Power,2016,240
compensation,"Electrical equipment, appliances, and components",4,Power,2017,217
compensation,"Electrical equipment, appliances, and components",4,Power,2018,238
compensation,"Electrical equipment, appliances, and components",4,Power,2019,213
compensation,"Electrical equipment, appliances, and components",4,Power,2020,184
compensation,"Electrical equipment, appliances, and components",4,Power,2021,183
compensation,"Electrical equipment, appliances, and components",4,Power,2022,203
compensation,"Electrical equipment, appliances, and components",4,Power,2023,207
compensation,Other transportation equipment3,5,Transportation,2012,8235
compensation,Other transportation equipment3,5,Transportation,2013,8473
compensation,Other transportation equipment3,5,Transportation,2014,8752
compensation,Other transportation equipment3,5,Transportation,2015,9439
compensation,Other transportation equipment3,5,Transportation,2016,7989
compensation,Other transportation equipment3,5,Transportation,2017,7332
compensation,Other transportation equipment3,5,Transportation,2018,7724
compensation,Other transportation equipment3,5,Transportation,2019,10517
compensation,Other transportation equipment3,5,Transportation,2020,9609
compensation,Other transportation equipment3,5,Transportation,2021,9585
compensation,Other transportation equipment3,5,Transportation,2022,8762
compensation,Other transportation equipment3,5,Transportation,2023,9695
compensation,Furniture and related products,13,NA,2012,6
compensation,Furniture and related products,13,NA,2013,7
compensation,Furniture and related products,13,NA,2014,6
compensation,Furniture and related products,13,NA,2015,4
compensation,Furniture and related products,13,NA,2016,3
compensation,Furniture and related products,13,NA,2017,4
compensation,Furniture and related products,13,NA,2018,4
compensation,Furniture and related products,13,NA,2019,3
compensation,Furniture and related products,13,NA,2020,3
compensation,Furniture and related products,13,NA,2021,3
compensation,Furniture and related products,13,NA,2022,3
compensation,Furniture and related products,13,NA,2023,3
compensation,Miscellaneous manufacturing,7,Textiles,2012,235
compensation,Miscellaneous manufacturing,7,Textiles,2013,294
compensation,Miscellaneous manufacturing,7,Textiles,2014,288
compensation,Miscellaneous manufacturing,7,Textiles,2015,145
compensation,Miscellaneous manufacturing,7,Textiles,2016,157
compensation,Miscellaneous manufacturing,7,Textiles,2017,172
compensation,Miscellaneous manufacturing,7,Textiles,2018,183
compensation,Miscellaneous manufacturing,7,Textiles,2019,174
compensation,Miscellaneous manufacturing,7,Textiles,2020,155
compensation,Miscellaneous manufacturing,7,Textiles,2021,194
compensation,Miscellaneous manufacturing,7,Textiles,2022,242
compensation,Miscellaneous manufacturing,7,Textiles,2023,244
compensation,Nondurable goods,13,NA,2012,139
compensation,Nondurable goods,13,NA,2013,145
compensation,Nondurable goods,13,NA,2014,141
compensation,Nondurable goods,13,NA,2015,61
compensation,Nondurable goods,13,NA,2016,72
compensation,Nondurable goods,13,NA,2017,70
compensation,Nondurable goods,13,NA,2018,64
compensation,Nondurable goods,13,NA,2019,54
compensation,Nondurable goods,13,NA,2020,49
compensation,Nondurable goods,13,NA,2021,55
compensation,Nondurable goods,13,NA,2022,70
compensation,Nondurable goods,13,NA,2023,72
compensation,Food and beverage and tobacco products,8,Grain,2012,36
compensation,Food and beverage and tobacco products,8,Grain,2013,48
compensation,Food and beverage and tobacco products,8,Grain,2014,51
compensation,Food and beverage and tobacco products,8,Grain,2015,22
compensation,Food and beverage and tobacco products,8,Grain,2016,22
compensation,Food and beverage and tobacco products,8,Grain,2017,22
compensation,Food and beverage and tobacco products,8,Grain,2018,23
compensation,Food and beverage and tobacco products,8,Grain,2019,17
compensation,Food and beverage and tobacco products,8,Grain,2020,19
compensation,Food and beverage and tobacco products,8,Grain,2021,21
compensation,Food and beverage and tobacco products,8,Grain,2022,30
compensation,Food and beverage and tobacco products,8,Grain,2023,30
compensation,Textile mills and textile product mills,7,Textiles,2012,5
compensation,Textile mills and textile product mills,7,Textiles,2013,7
compensation,Textile mills and textile product mills,7,Textiles,2014,6
