table_name,industry,district_number,district_name,year,value
current_gross_output,Space economy1,13,Underground,2012,189438
current_gross_output,Space economy1,13,Underground,2013,195060
current_gross_output,Space economy1,13,Underground,2014,198159
current_gross_output,Space economy1,13,Underground,2015,205244
current_gross_output,Space economy1,13,Underground,2016,204806
current_gross_output,Space economy1,13,Underground,2017,207911
current_gross_output,Space economy1,13,Underground,2018,209100
current_gross_output,Space economy1,13,Underground,2019,216523
current_gross_output,Space economy1,13,Underground,2020,209460
current_gross_output,Space economy1,13,Underground,2021,214301
current_gross_output,Space economy1,13,Underground,2022,234618
current_gross_output,Space economy1,13,Underground,2023,240891
current_gross_output,Private industries,13,Underground,2012,160095
current_gross_output,Private industries,13,Underground,2013,165699
current_gross_output,Private industries,13,Underground,2014,167839
current_gross_output,Private industries,13,Underground,2015,173895
current_gross_output,Private industries,13,Underground,2016,172726
current_gross_output,Private industries,13,Underground,2017,175789
current_gross_output,Private industries,13,Underground,2018,175153
current_gross_output,Private industries,13,Underground,2019,178698
current_gross_output,Private industries,13,Underground,2020,171021
current_gross_output,Private industries,13,Underground,2021,173993
current_gross_output,Private industries,13,Underground,2022,190221
current_gross_output,Private industries,13,Underground,2023,192397
current_gross_output,Mining,12,Mining,2012,67
current_gross_output,Mining,12,Mining,2013,51
current_gross_output,Mining,12,Mining,2014,65
current_gross_output,Mining,12,Mining,2015,57
current_gross_output,Mining,12,Mining,2016,33
current_gross_output,Mining,12,Mining,2017,13
current_gross_output,Mining,12,Mining,2018,6
current_gross_output,Mining,12,Mining,2019,7
current_gross_output,Mining,12,Mining,2020,3
current_gross_output,Mining,12,Mining,2021,3
current_gross_output,Mining,12,Mining,2022,3
current_gross_output,Mining,12,Mining,2023,3
current_gross_output,Oil and gas extraction,5,Power,2012,50
current_gross_output,Oil and gas extraction,5,Power,2013,38
current_gross_output,Oil and gas extraction,5,Power,2014,48
current_gross_output,Oil and gas extraction,5,Power,2015,41
current_gross_output,Oil and gas extraction,5,Power,2016,23
current_gross_output,Oil and gas extraction,5,Power,2017,9
current_gross_output,Oil and gas extraction,5,Power,2018,4
current_gross_output,Oil and gas extraction,5,Power,2019,5
current_gross_output,Oil and gas extraction,5,Power,2020,2
current_gross_output,Oil and gas extraction,5,Power,2021,2
current_gross_output,Oil and gas extraction,5,Power,2022,2
current_gross_output,Oil and gas extraction,5,Power,2023,2
current_gross_output,"Mining, except oil and gas",5,Power,2012,0
current_gross_output,"Mining, except oil and gas",5,Power,2013,0
current_gross_output,"Mining, except oil and gas",5,Power,2014,0
current_gross_output,"Mining, except oil and gas",5,Power,2015,1
current_gross_output,"Mining, except oil and gas",5,Power,2016,1
current_gross_output,"Mining, except oil and gas",5,Power,2017,1
current_gross_output,"Mining, except oil and gas",5,Power,2018,0
current_gross_output,"Mining, except oil and gas",5,Power,2019,0
current_gross_output,"Mining, except oil and gas",5,Power,2020,0
current_gross_output,"Mining, except oil and gas",5,Power,2021,0
current_gross_output,"Mining, except oil and gas",5,Power,2022,0
current_gross_output,"Mining, except oil and gas",5,Power,2023,0
current_gross_output,Support activities for mining,12,Mining,2012,17
current_gross_output,Support activities for mining,12,Mining,2013,13
current_gross_output,Support activities for mining,12,Mining,2014,17
current_gross_output,Support activities for mining,12,Mining,2015,15
current_gross_output,Support activities for mining,12,Mining,2016,9
current_gross_output,Support activities for mining,12,Mining,2017,3
current_gross_output,Support activities for mining,12,Mining,2018,2
current_gross_output,Support activities for mining,12,Mining,2019,2
current_gross_output,Support activities for mining,12,Mining,2020,1
current_gross_output,Support activities for mining,12,Mining,2021,1
current_gross_output,Support activities for mining,12,Mining,2022,1
current_gross_output,Support activities for mining,12,Mining,2023,1
current_gross_output,Utilities,5,Power,2012,2
current_gross_output,Utilities,5,Power,2013,1
current_gross_output,Utilities,5,Power,2014,1
