table_name,industry,district_number,district_name,year,value
current_value_added,Space economy1,13,Underground,2012,110992
current_value_added,Space economy1,13,Underground,2013,118492
current_value_added,Space economy1,13,Underground,2014,116827
current_value_added,Space economy1,13,Underground,2015,123034
current_value_added,Space economy1,13,Underground,2016,122521
current_value_added,Space economy1,13,Underground,2017,122183
current_value_added,Space economy1,13,Underground,2018,121296
current_value_added,Space economy1,13,Underground,2019,128189
current_value_added,Space economy1,13,Underground,2020,124239
current_value_added,Space economy1,13,Underground,2021,125219
current_value_added,Space economy1,13,Underground,2022,134077
current_value_added,Space economy1,13,Underground,2023,142526
current_value_added,Private industries,13,Underground,2012,90312
current_value_added,Private industries,13,Underground,2013,97511
current_value_added,Private industries,13,Underground,2014,95054
current_value_added,Private industries,13,Underground,2015,100521
current_value_added,Private industries,13,Underground,2016,99501
current_value_added,Private industries,13,Underground,2017,98699
current_value_added,Private industries,13,Underground,2018,96277
current_value_added,Private industries,13,Underground,2019,100522
current_value_added,Private industries,13,Underground,2020,96800
current_value_added,Private industries,13,Underground,2021,97034
current_value_added,Private industries,13,Underground,2022,102731
current_value_added,Private industries,13,Underground,2023,106924
current_value_added,Mining,12,Mining,2012,50
current_value_added,Mining,12,Mining,2013,39
current_value_added,Mining,12,Mining,2014,50
current_value_added,Mining,12,Mining,2015,45
current_value_added,Mining,12,Mining,2016,25
current_value_added,Mining,12,Mining,2017,10
current_value_added,Mining,12,Mining,2018,4
current_value_added,Mining,12,Mining,2019,6
current_value_added,Mining,12,Mining,2020,2
current_value_added,Mining,12,Mining,2021,2
current_value_added,Mining,12,Mining,2022,2
current_value_added,Mining,12,Mining,2023,2
current_value_added,Oil and gas extraction,5,Power,2012,37
current_value_added,Oil and gas extraction,5,Power,2013,29
current_value_added,Oil and gas extraction,5,Power,2014,37
current_value_added,Oil and gas extraction,5,Power,2015,32
current_value_added,Oil and gas extraction,5,Power,2016,18
current_value_added,Oil and gas extraction,5,Power,2017,6
current_value_added,Oil and gas extraction,5,Power,2018,3
current_value_added,Oil and gas extraction,5,Power,2019,4
current_value_added,Oil and gas extraction,5,Power,2020,1
current_value_added,Oil and gas extraction,5,Power,2021,2
current_value_added,Oil and gas extraction,5,Power,2022,1
current_value_added,Oil and gas extraction,5,Power,2023,1
current_value_added,"Mining, except oil and gas",5,Power,2012,0
current_value_added,"Mining, except oil and gas",5,Power,2013,0
current_value_added,"Mining, except oil and gas",5,Power,2014,0
current_value_added,"Mining, except oil and gas",5,Power,2015,1
current_value_added,"Mining, except oil and gas",5,Power,2016,1
current_value_added,"Mining, except oil and gas",5,Power,2017,1
current_value_added,"Mining, except oil and gas",5,Power,2018,0
current_value_added,"Mining, except oil and gas",5,Power,2019,0
current_value_added,"Mining, except oil and gas",5,Power,2020,0
current_value_added,"Mining, except oil and gas",5,Power,2021,0
current_value_added,"Mining, except oil and gas",5,Power,2022,0
current_value_added,"Mining, except oil and gas",5,Power,2023,0
current_value_added,Support activities for mining,12,Mining,2012,13
current_value_added,Support activities for mining,12,Mining,2013,10
current_value_added,Support activities for mining,12,Mining,2014,13
current_value_added,Support activities for mining,12,Mining,2015,12
current_value_added,Support activities for mining,12,Mining,2016,7
current_value_added,Support activities for mining,12,Mining,2017,3
current_value_added,Support activities for mining,12,Mining,2018,1
current_value_added,Support activities for mining,12,Mining,2019,2
current_value_added,Support activities for mining,12,Mining,2020,1
current_value_added,Support activities for mining,12,Mining,2021,1
current_value_added,Support activities for mining,12,Mining,2022,1
current_value_added,Support activities for mining,12,Mining,2023,1
current_value_added,Utilities,5,Power,2012,1
current_value_added,Utilities,5,Power,2013,1
current_value_added,Utilities,5,Power,2014,1
current_value_added,Utilities,5,Power,2015,2
current_value_added,Utilities,5,Power,2016,2
current_value_added,Utilities,5,Power,2017,2
current_value_added,Utilities,5,Power,2018,2
current_value_added,Utilities,5,Power,2019,1
current_value_added,Utilities,5,Power,2020,1
current_value_added,Utilities,5,Power,2021,2
current_value_added,Utilities,5,Power,2022,2
current_value_added,Utilities,5,Power,2023,1
current_value_added,Construction,13,Underground,2012,229
current_value_added,Construction,13,Underground,2013,212
current_value_added,Construction,13,Underground,2014,316
current_value_added,Construction,13,Underground,2015,383
current_value_added,Construction,13,Underground,2016,392
current_value_added,Construction,13,Underground,2017,585
current_value_added,Construction,13,Underground,2018,372
current_value_added,Construction,13,Underground,2019,1152
current_value_added,Construction,13,Underground,2020,992
current_value_added,Construction,13,Underground,2021,617
current_value_added,Construction,13,Underground,2022,842
current_value_added,Construction,13,Underground,2023,943
current_value_added,Manufacturing,8,Textiles,2012,34461
current_value_added,Manufacturing,8,Textiles,2013,36744
current_value_added,Manufacturing,8,Textiles,2014,34351
current_value_added,Manufacturing,8,Textiles,2015,33630
current_value_added,Manufacturing,8,Textiles,2016,33706
current_value_added,Manufacturing,8,Textiles,2017,32514
current_value_added,Manufacturing,8,Textiles,2018,32100
current_value_added,Manufacturing,8,Textiles,2019,34946
current_value_added,Manufacturing,8,Textiles,2020,32618
current_value_added,Manufacturing,8,Textiles,2021,34186
current_value_added,Manufacturing,8,Textiles,2022,34427
current_value_added,Manufacturing,8,Textiles,2023,35345
current_value_added,Durable goods,13,Underground,2012,34033
current_value_added,Durable goods,13,Underground,2013,36246
current_value_added,Durable goods,13,Underground,2014,33866
current_value_added,Durable goods,13,Underground,2015,33418
current_value_added,Durable goods,13,Underground,2016,33470
current_value_added,Durable goods,13,Underground,2017,32295
current_value_added,Durable goods,13,Underground,2018,31877
current_value_added,Durable goods,13,Underground,2019,34765
current_value_added,Durable goods,13,Underground,2020,32440
current_value_added,Durable goods,13,Underground,2021,33985
current_value_added,Durable goods,13,Underground,2022,34172
current_value_added,Durable goods,13,Underground,2023,35090
current_value_added,Wood products,7,Lumber,2012,20
current_value_added,Wood products,7,Lumber,2013,12
current_value_added,Wood products,7,Lumber,2014,19
current_value_added,Wood products,7,Lumber,2015,5
current_value_added,Wood products,7,Lumber,2016,5
current_value_added,Wood products,7,Lumber,2017,4
current_value_added,Wood products,7,Lumber,2018,5
current_value_added,Wood products,7,Lumber,2019,4
current_value_added,Wood products,7,Lumber,2020,3
current_value_added,Wood products,7,Lumber,2021,8
current_value_added,Wood products,7,Lumber,2022,6
current_value_added,Wood products,7,Lumber,2023,6
current_value_added,Nonmetallic mineral products,12,Mining,2012,51
current_value_added,Nonmetallic mineral products,12,Mining,2013,60
current_value_added,Nonmetallic mineral products,12,Mining,2014,64
current_value_added,Nonmetallic mineral products,12,Mining,2015,27
current_value_added,Nonmetallic mineral products,12,Mining,2016,28
current_value_added,Nonmetallic mineral products,12,Mining,2017,27
current_value_added,Nonmetallic mineral products,12,Mining,2018,29
current_value_added,Nonmetallic mineral products,12,Mining,2019,26
current_value_added,Nonmetallic mineral products,12,Mining,2020,26
current_value_added,Nonmetallic mineral products,12,Mining,2021,26
current_value_added,Nonmetallic mineral products,12,Mining,2022,29
current_value_added,Nonmetallic mineral products,12,Mining,2023,29
current_value_added,Primary metals,12,Mining,2012,47
current_value_added,Primary metals,12,Mining,2013,51
current_value_added,Primary metals,12,Mining,2014,80
current_value_added,Primary metals,12,Mining,2015,69
current_value_added,Primary metals,12,Mining,2016,48
current_value_added,Primary metals,12,Mining,2017,45
current_value_added,Primary metals,12,Mining,2018,36
current_value_added,Primary metals,12,Mining,2019,31
current_value_added,Primary metals,12,Mining,2020,35
current_value_added,Primary metals,12,Mining,2021,37
current_value_added,Primary metals,12,Mining,2022,44
current_value_added,Primary metals,12,Mining,2023,43
current_value_added,Fabricated metal products,12,Mining,2012,243
