table_name,industry,district_number,district_name,year,value
employment,"Space economy, private industries1",13,NA,2012,433
employment,"Space economy, private industries1",13,NA,2013,432
employment,"Space economy, private industries1",13,NA,2014,426
employment,"Space economy, private industries1",13,NA,2015,424
employment,"Space economy, private industries1",13,NA,2016,411
employment,"Space economy, private industries1",13,NA,2017,399
employment,"Space economy, private industries1",13,NA,2018,387
employment,"Space economy, private industries1",13,NA,2019,390
employment,"Space economy, private industries1",13,NA,2020,365
employment,"Space economy, private industries1",13,NA,2021,351
employment,"Space economy, private industries1",13,NA,2022,361
employment,"Space economy, private industries1",13,NA,2023,373
employment,Construction,13,NA,2012,1
employment,Construction,13,NA,2013,1
employment,Construction,13,NA,2014,1
employment,Construction,13,NA,2015,1
employment,Construction,13,NA,2016,1
employment,Construction,13,NA,2017,2
employment,Construction,13,NA,2018,1
employment,Construction,13,NA,2019,2
employment,Construction,13,NA,2020,2
employment,Construction,13,NA,2021,2
employment,Construction,13,NA,2022,3
employment,Construction,13,NA,2023,2
employment,Manufacturing,7,Textiles,2012,136
employment,Manufacturing,7,Textiles,2013,137
employment,Manufacturing,7,Textiles,2014,133
employment,Manufacturing,7,Textiles,2015,131
employment,Manufacturing,7,Textiles,2016,128
employment,Manufacturing,7,Textiles,2017,118
employment,Manufacturing,7,Textiles,2018,116
employment,Manufacturing,7,Textiles,2019,123
employment,Manufacturing,7,Textiles,2020,112
employment,Manufacturing,7,Textiles,2021,111
employment,Manufacturing,7,Textiles,2022,104
employment,Manufacturing,7,Textiles,2023,109
employment,Durable goods,13,NA,2012,134
employment,Durable goods,13,NA,2013,134
employment,Durable goods,13,NA,2014,131
employment,Durable goods,13,NA,2015,130
employment,Durable goods,13,NA,2016,127
employment,Durable goods,13,NA,2017,117
employment,Durable goods,13,NA,2018,115
employment,Durable goods,13,NA,2019,122
employment,Durable goods,13,NA,2020,111
employment,Durable goods,13,NA,2021,110
employment,Durable goods,13,NA,2022,103
employment,Durable goods,13,NA,2023,108
employment,Fabricated metal products,11,Mining,2012,1
employment,Fabricated metal products,11,Mining,2013,2
employment,Fabricated metal products,11,Mining,2014,2
employment,Fabricated metal products,11,Mining,2015,2
employment,Fabricated metal products,11,Mining,2016,2
employment,Fabricated metal products,11,Mining,2017,2
employment,Fabricated metal products,11,Mining,2018,1
employment,Fabricated metal products,11,Mining,2019,1
employment,Fabricated metal products,11,Mining,2020,1
employment,Fabricated metal products,11,Mining,2021,1
employment,Fabricated metal products,11,Mining,2022,1
employment,Fabricated metal products,11,Mining,2023,1
employment,Machinery,13,NA,2012,4
employment,Machinery,13,NA,2013,4
employment,Machinery,13,NA,2014,4
employment,Machinery,13,NA,2015,2
employment,Machinery,13,NA,2016,2
employment,Machinery,13,NA,2017,2
employment,Machinery,13,NA,2018,2
employment,Machinery,13,NA,2019,2
employment,Machinery,13,NA,2020,2
employment,Machinery,13,NA,2021,2
employment,Machinery,13,NA,2022,3
employment,Machinery,13,NA,2023,3
employment,Computer and electronic products2,3,Technology,2012,55
employment,Computer and electronic products2,3,Technology,2013,53
employment,Computer and electronic products2,3,Technology,2014,51
employment,Computer and electronic products2,3,Technology,2015,52
employment,Computer and electronic products2,3,Technology,2016,54
employment,Computer and electronic products2,3,Technology,2017,49
employment,Computer and electronic products2,3,Technology,2018,48
employment,Computer and electronic products2,3,Technology,2019,51
employment,Computer and electronic products2,3,Technology,2020,48
employment,Computer and electronic products2,3,Technology,2021,48
employment,Computer and electronic products2,3,Technology,2022,49
employment,Computer and electronic products2,3,Technology,2023,48
employment,"Electrical equipment, appliances, and components",4,Power,2012,3
employment,"Electrical equipment, appliances, and components",4,Power,2013,3
employment,"Electrical equipment, appliances, and components",4,Power,2014,3
employment,"Electrical equipment, appliances, and components",4,Power,2015,2
employment,"Electrical equipment, appliances, and components",4,Power,2016,3
employment,"Electrical equipment, appliances, and components",4,Power,2017,2
employment,"Electrical equipment, appliances, and components",4,Power,2018,3
employment,"Electrical equipment, appliances, and components",4,Power,2019,2
employment,"Electrical equipment, appliances, and components",4,Power,2020,2
employment,"Electrical equipment, appliances, and components",4,Power,2021,2
employment,"Electrical equipment, appliances, and components",4,Power,2022,2
employment,"Electrical equipment, appliances, and components",4,Power,2023,2
employment,Other transportation equipment3,5,Transportation,2012,68
employment,Other transportation equipment3,5,Transportation,2013,68
employment,Other transportation equipment3,5,Transportation,2014,68
employment,Other transportation equipment3,5,Transportation,2015,69
employment,Other transportation equipment3,5,Transportation,2016,65
employment,Other transportation equipment3,5,Transportation,2017,59
employment,Other transportation equipment3,5,Transportation,2018,58
employment,Other transportation equipment3,5,Transportation,2019,64
employment,Other transportation equipment3,5,Transportation,2020,57
employment,Other transportation equipment3,5,Transportation,2021,54
employment,Other transportation equipment3,5,Transportation,2022,46
employment,Other transportation equipment3,5,Transportation,2023,52
employment,Miscellaneous manufacturing,7,Textiles,2012,3
employment,Miscellaneous manufacturing,7,Textiles,2013,4
employment,Miscellaneous manufacturing,7,Textiles,2014,3
employment,Miscellaneous manufacturing,7,Textiles,2015,2
employment,Miscellaneous manufacturing,7,Textiles,2016,2
