table_name,industry,district_number,district_name,year,value
real_gross_output,Space economy1,13,NA,2012,182757
real_gross_output,Space economy1,13,NA,2013,190256
real_gross_output,Space economy1,13,NA,2014,195919
real_gross_output,Space economy1,13,NA,2015,205707
real_gross_output,Space economy1,13,NA,2016,206542
real_gross_output,Space economy1,13,NA,2017,207911
real_gross_output,Space economy1,13,NA,2018,205358
real_gross_output,Space economy1,13,NA,2019,208510
real_gross_output,Space economy1,13,NA,2020,200271
real_gross_output,Space economy1,13,NA,2021,194131
real_gross_output,Space economy1,13,NA,2022,203295
real_gross_output,Space economy1,13,NA,2023,202094
real_gross_output,Private industries,13,NA,2012,151467
real_gross_output,Private industries,13,NA,2013,159229
real_gross_output,Private industries,13,NA,2014,164508
real_gross_output,Private industries,13,NA,2015,173324
real_gross_output,Private industries,13,NA,2016,173764
real_gross_output,Private industries,13,NA,2017,175789
real_gross_output,Private industries,13,NA,2018,172479
real_gross_output,Private industries,13,NA,2019,172473
real_gross_output,Private industries,13,NA,2020,163865
real_gross_output,Private industries,13,NA,2021,156995
real_gross_output,Private industries,13,NA,2022,164711
real_gross_output,Private industries,13,NA,2023,161677
real_gross_output,Mining,11,Mining,2012,72
real_gross_output,Mining,11,Mining,2013,54
real_gross_output,Mining,11,Mining,2014,68
real_gross_output,Mining,11,Mining,2015,58
real_gross_output,Mining,11,Mining,2016,34
real_gross_output,Mining,11,Mining,2017,13
real_gross_output,Mining,11,Mining,2018,5
real_gross_output,Mining,11,Mining,2019,7
real_gross_output,Mining,11,Mining,2020,3
real_gross_output,Mining,11,Mining,2021,3
real_gross_output,Mining,11,Mining,2022,3
real_gross_output,Mining,11,Mining,2023,2
real_gross_output,Oil and gas extraction,4,Power,2012,54
real_gross_output,Oil and gas extraction,4,Power,2013,40
real_gross_output,Oil and gas extraction,4,Power,2014,50
real_gross_output,Oil and gas extraction,4,Power,2015,41
real_gross_output,Oil and gas extraction,4,Power,2016,24
real_gross_output,Oil and gas extraction,4,Power,2017,9
real_gross_output,Oil and gas extraction,4,Power,2018,4
real_gross_output,Oil and gas extraction,4,Power,2019,4
real_gross_output,Oil and gas extraction,4,Power,2020,2
real_gross_output,Oil and gas extraction,4,Power,2021,2
